average_speed,datetime,name,hourly_volume,volume
30.0,2025-11-01 21:00:00,e_w_01_1,48,4
41.0,2025-11-01 21:00:00,e_w_01_2,10,1
0.0,2025-11-01 21:00:00,e_n_0,0,0
28.0,2025-11-01 21:00:00,w_e_01_2,12,1
1.0,2025-11-01 21:00:00,e_n_1,4,0
26.0,2025-11-01 21:00:00,w_s_0,8,1
17.0,2025-11-01 21:00:00,w_e_01_0,34,3
17.0,2025-11-01 21:00:00,w_e_01_1,42,4
27.0,2025-11-01 21:00:00,n_s_01_0,33,3
26.0,2025-11-01 21:00:00,n_s_01_1,41,3
35.0,2025-11-01 20:55:00,e_w_01_0,38,3
35.0,2025-11-01 20:55:00,e_w_01_1,39,3
50.0,2025-11-01 20:55:00,e_w_01_2,5,0
31.0,2025-11-01 20:55:00,w_e_01_2,15,1
0.0,2025-11-01 20:55:00,e_n_0,0,0
,2025-11-01 20:55:00,e_n_1,0,0
23.0,2025-11-01 20:55:00,w_s_0,7,1
9.0,2025-11-01 20:55:00,w_e_01_0,20,2
13.0,2025-11-01 20:55:00,w_e_01_1,35,3
25.0,2025-11-01 20:55:00,n_s_01_0,41,3
28.0,2025-11-01 20:55:00,n_s_01_1,36,3
33.0,2025-11-01 20:50:00,e_w_01_0,38,3
31.0,2025-11-01 20:50:00,e_w_01_1,61,5
40.0,2025-11-01 20:50:00,e_w_01_2,12,1
36.0,2025-11-01 20:50:00,w_e_01_2,15,1
0.0,2025-11-01 20:50:00,e_n_0,0,0
1.0,2025-11-01 20:50:00,e_n_1,3,0
20.0,2025-11-01 20:50:00,w_s_0,8,1
18.0,2025-11-01 20:50:00,w_e_01_0,31,3
24.0,2025-11-01 20:50:00,w_e_01_1,39,3
27.0,2025-11-01 20:50:00,n_s_01_0,42,4
28.0,2025-11-01 20:50:00,n_s_01_1,34,3
30.0,2025-11-01 20:45:00,e_w_01_0,52,4
33.0,2025-11-01 20:45:00,e_w_01_1,51,4
38.0,2025-11-01 20:45:00,e_w_01_2,16,1
48.0,2025-11-01 20:45:00,w_e_01_2,24,2
0.0,2025-11-01 20:45:00,e_n_0,0,0
2.0,2025-11-01 20:45:00,e_n_1,2,0
25.0,2025-11-01 20:45:00,w_s_0,7,1
14.0,2025-11-01 20:45:00,w_e_01_0,44,4
24.0,2025-11-01 20:45:00,w_e_01_1,38,3
